Customer Segment	RFM Score	M_quantile	F_quantile	R_quantitle	last_to_present	Total Paid	CustomerID	Quantity	InvoiceNo
Best Customer	111	1	1	1	17	3439.08	17725	2162	192
Highest Paying Customer	121	1	2	1	73	2232.49	18242	1017	78
Highest Paying Customer	211	1	1	2	116	1641.76	15002	862	115
Best Customer	111	1	1	1	2	5153.67	13599	3294	247
Best Customer	111	1	1	1	96	3099.12	14565	1540	127
Normal	333	3	3	3	298	576.9	14176	209	31
Normal	132	2	3	1	19	1132.14	13282	307	37
Normal	133	3	3	1	19	635.41	16139	330	31
Normal	123	3	2	1	13	417.23	18001	363	58
Best Customer	111	1	1	1	67	1756.44	15241	1818	110
Best Customer	111	1	1	1	67	3313.79	16556	1890	207
Highest Paying Customer	121	1	2	1	37	7121.95	13324	5205	75
Normal	323	3	2	3	193	517.53	17454	243	61
Normal	344	4	4	3	213	294.12	15732	215	14
Best Customer	111	1	1	1	34	10815.43	17107	4837	418
Normal	123	3	2	1	24	568.55	13939	847	45
Normal	234	4	3	2	115	85.13	15541	49	29
Best Customer	111	1	1	1	10	12669.98	14258	7100	111
Normal	132	2	3	1	4	1098.48	13104	504	20
Normal	322	2	2	3	213	977.77	14920	509	57
Newest Customer	143	3	4	1	79	307.76	13529	74	15
Normal	122	2	2	1	22	1116.47	16350	545	57
Best Customer	111	1	1	1	60	2612.86	12836	1064	175
Highest Paying Customer	221	1	2	2	117	1706.88	16902	629	44
Normal	332	2	3	3	242	1047.11	15777	378	21
Normal	343	3	4	3	214	311.3	13990	190	16
Best Customer	111	1	1	1	18	2999.46	17659	1525	158
Newest Customer	142	2	4	1	32	777.6	16505	576	4
Best Customer	111	1	1	1	8	4165.52	15570	2067	323
Normal	122	2	2	1	4	1046.56	14293	709	61
Newest Customer	143	3	4	1	23	490.22	14416	326	14
Best Customer	111	1	1	1	8	11138.71	14895	4851	498
Normal	222	2	2	2	120	1340.7	16045	897	83
Normal	133	3	3	1	72	518.42	16650	372	24
Loyal Customer	112	2	1	1	38	1199.01	17800	736	104
Loyal Customer	113	3	1	1	25	559.51	18043	282	121
Normal	122	2	2	1	3	1258.06	17412	738	66
Best Customer	111	1	1	1	2	5575.56	16161	2599	474
Normal	133	3	3	1	62	484.32	16518	327	40
Normal	132	2	3	1	17	979.12	13350	287	40
Highest Paying Customer	141	1	4	1	23	1717.36	15267	944	11
Normal	243	3	4	2	138	449.73	17040	181	15
Normal	122	2	2	1	65	1174.35	15306	810	58
Normal	344	4	4	3	309	153.94	17517	102	11
Normal	344	4	4	3	204	59.8	13391	4	1
Normal	344	4	4	3	246	129.45	16623	39	5
Loyal Customer	112	2	1	1	5	1080.62	16200	523	179
Highest Paying Customer	121	1	2	1	19	2657.13	15671	1699	78
Normal	334	4	3	3	365	182.25	14082	110	29
Normal	122	2	2	1	18	834.99	17759	708	95
Newest Customer	144	4	4	1	43	219.39	15096	120	11
Best Customer	111	1	1	1	26	2314.32	15365	1084	114
Best Customer	111	1	1	1	15	1701.29	13184	1692	181
Newest Customer	144	4	4	1	60	173.76	16861	140	6
Best Customer	111	1	1	1	25	2527.92	17314	1896	131
Normal	133	3	3	1	55	427.07	15994	177	35
Churn Customer	444	4	4	4	366	63	14437	60	5
Normal	124	4	2	1	13	251.24	16024	398	64
Normal	333	3	3	3	223	383.45	14304	139	17
Normal	133	3	3	1	29	333.48	13727	162	20
Highest Paying Customer	121	1	2	1	20	1879.05	17738	1029	97
Loyal Customer	112	2	1	1	23	1475.02	15983	892	113
Loyal Customer	112	2	1	1	41	1233.36	15376	619	117
Best Customer	111	1	1	1	19	2068.15	14482	1646	144
Best Customer	111	1	1	1	12	7276.9	18229	2488	164
Normal	344	4	4	3	302	186.39	13672	57	6
Best Customer	111	1	1	1	8	1871.5	16474	943	360
Normal	122	2	2	1	15	843.48	17624	554	50
Highest Paying Customer	121	1	2	1	82	1799.33	13562	757	82
Loyal Customer	113	3	1	1	36	570.46	14592	415	164
Normal	234	4	3	2	135	196.88	15746	178	28
Normal	123	3	2	1	2	563.23	16933	288	44
Highest Paying Customer	141	1	4	1	99	4055.72	18087	3907	2
Newest Customer	144	4	4	1	57	161	14089	134	14
Normal	334	4	3	3	258	215.7	14476	132	19
Best Customer	111	1	1	1	3	2069.77	18219	885	114
Normal	133	3	3	1	68	480.71	15091	346	30
Normal	232	2	3	2	124	1142.42	15985	1086	37
Loyal Customer	112	2	1	1	9	700.86	17321	373	107
Normal	344	4	4	3	183	72	13686	70	8
Normal	244	4	4	2	129	168	15374	126	3
Normal	344	4	4	3	226	112.32	14271	88	10
Normal	122	2	2	1	22	984.91	13117	945	76
Normal	124	4	2	1	55	286.79	13760	197	57
Normal	323	3	2	3	323	602.09	17890	416	94
Normal	133	3	3	1	45	326.24	16071	180	21
Highest Paying Customer	121	1	2	1	8	3347.31	17183	1296	73
Best Customer	111	1	1	1	10	3546.71	15544	3109	259
Normal	343	3	4	3	274	386.53	14114	101	15
Normal	344	4	4	3	290	94	15397	20	6
Highest Paying Customer	221	1	2	2	131	1703.41	17282	1877	94
Best Customer	111	1	1	1	4	3543.26	14503	2004	164
Normal	424	4	2	4	367	145.93	16893	62	45
Normal	343	3	4	3	268	333.74	13216	297	5
Normal	333	3	3	3	359	476.35	18176	283	30
Newest Customer	144	4	4	1	30	106.1	17791	46	10
Newest Customer	144	4	4	1	22	166.08	17650	150	8
Normal	333	3	3	3	268	354.09	12845	204	27
Best Customer	111	1	1	1	2	16225.39	15189	6149	212
Highest Paying Customer	121	1	2	1	22	2119.41	18061	955	46
Normal	123	3	2	1	17	370.48	16343	195	47
Best Customer	111	1	1	1	11	3901.81	13999	2243	208
Highest Paying Customer	121	1	2	1	9	1599.52	16496	1111	95
Highest Paying Customer	341	1	4	3	195	1689.5	17152	517	14
Normal	242	2	4	2	128	1516	13791	1200	11
Normal	344	4	4	3	359	76.55	14373	17	4
Normal	122	2	2	1	31	890.34	14240	418	42
Best Customer	111	1	1	1	9	8910.82	13090	2263	155
Normal	123	3	2	1	46	341.28	17917	187	94
Best Customer	111	1	1	1	31	5580.6	16767	4435	222
Best Customer	111	1	1	1	19	2429.78	15527	992	163
Normal	333	3	3	3	270	343.62	15047	222	22
Normal	132	2	3	1	3	915.13	14141	355	40
Best Customer	111	1	1	1	34	1575.16	13634	704	188
Normal	244	4	4	2	141	207.74	16866	60	11
Normal	133	3	3	1	18	501.12	13247	328	25
Newest Customer	144	4	4	1	96	82.75	17309	41	12
Normal	134	4	3	1	22	287.59	17760	239	25
Newest Customer	144	4	4	1	2	270.6	14520	146	4
Loyal Customer	113	3	1	1	67	473.03	16374	240	111
Normal	342	2	4	3	275	660	14603	400	2
Best Customer	111	1	1	1	52	1778.96	15220	1393	117
Best Customer	111	1	1	1	13	1920.59	16942	811	281
Normal	344	4	4	3	305	79.2	15753	144	1
Highest Paying Customer	121	1	2	1	3	9068.26	18092	4252	89
Normal	324	4	2	3	313	218.52	17619	127	77
Newest Customer	144	4	4	1	65	272.07	14819	109	13
Normal	233	3	3	2	144	356.7	15713	150	19
Normal	134	4	3	1	12	201.12	17988	43	38
Highest Paying Customer	221	1	2	2	101	1810.77	15260	885	77
Newest Customer	144	4	4	1	24	223.85	13926	104	11
Normal	343	3	4	3	323	302	17094	152	14
Newest Customer	144	4	4	1	4	124.2	16569	93	5
Normal	122	2	2	1	23	661.32	13028	798	45
Normal	132	2	3	1	52	1547.2	14229	610	40
Loyal Customer	112	2	1	1	23	979.26	15506	848	164
Loyal Customer	113	3	1	1	13	597.5	17864	810	102
Newest Customer	143	3	4	1	54	384.08	17205	884	13
Highest Paying Customer	221	1	2	2	139	4599.42	13802	2572	60
Normal	122	2	2	1	65	695.42	14959	494	59
Normal	222	2	2	2	158	1078.96	14352	538	47
Normal	333	3	3	3	219	611.88	16109	612	18
Newest Customer	144	4	4	1	5	220.1	13079	62	6
Normal	322	2	2	3	219	1161.53	16714	610	93
Normal	134	4	3	1	69	270.8	15774	87	25
Best Customer	111	1	1	1	26	1827.8	15203	1753	142
Normal	323	3	2	3	218	309.36	17604	169	63
Newest Customer	144	4	4	1	45	6.9	16454	3	2
Highest Paying Customer	121	1	2	1	4	6675.71	16353	2006	94
Newest Customer	144	4	4	1	31	20.8	16953	10	1
Normal	133	3	3	1	6	430.15	12827	197	25
Normal	333	3	3	3	206	412.78	14620	214	26
Normal	122	2	2	1	16	1059.39	18130	824	70
Best Customer	111	1	1	1	1	11045.04	17581	5927	440
Normal	134	4	3	1	26	68.84	15863	19	18
Normal	323	3	2	3	214	642.81	16431	453	83
Normal	122	2	2	1	30	1353.74	14064	1788	80
Normal	122	2	2	1	25	1058.34	13455	354	46
Normal	344	4	4	3	268	251.52	16976	88	2
Best Customer	111	1	1	1	31	2760.56	15114	3096	197
Best Customer	111	1	1	1	16	4921.04	14709	2484	196
Highest Paying Customer	211	1	1	2	101	10254.18	16180	5867	162
Newest Customer	144	4	4	1	5	230.65	18030	67	9
Normal	122	2	2	1	20	759.17	17425	407	43
Normal	122	2	2	1	23	1244.59	16531	915	77
Normal	344	4	4	3	253	136.8	15691	72	2
Newest Customer	144	4	4	1	50	240.55	15286	55	3
Normal	122	2	2	1	18	992.5	13363	710	60
Newest Customer	144	4	4	1	57	81.57	13006	55	4
Normal	322	2	2	3	184	740.95	13900	430	43
Newest Customer	144	4	4	1	22	228.99	14793	91	14
Normal	244	4	4	2	128	62.64	13218	88	5
Normal	344	4	4	3	282	225.9	17789	74	14
Normal	344	4	4	3	184	251.21	14501	161	10
Normal	122	2	2	1	54	893.59	15066	317	42
Normal	122	2	2	1	2	815.77	15399	611	50
Normal	244	4	4	2	180	189.47	13663	91	13
Highest Paying Customer	221	1	2	2	129	1590.81	18178	983	97
Best Customer	111	1	1	1	23	2915.15	14112	1651	160
Normal	124	4	2	1	65	219.14	16895	102	69
Highest Paying Customer	121	1	2	1	26	1600.86	15660	1050	90
Best Customer	111	1	1	1	30	2188.05	16628	1205	117
Normal	133	3	3	1	89	547.02	16211	154	23
Normal	244	4	4	2	111	52	15313	25	1
Newest Customer	142	2	4	1	12	843	17929	108	5
Best Customer	111	1	1	1	9	2473.37	14766	1349	135
Normal	122	2	2	1	32	1015.29	13867	513	61
Normal	122	2	2	1	30	1360.99	13396	600	43
Normal	132	2	3	1	5	1195.9	17526	310	19
Normal	333	3	3	3	246	433.53	17035	229	28
Normal	132	2	3	1	54	1382.07	16389	1242	34
Normal	133	3	3	1	65	391.98	15837	189	24
Normal	343	3	4	3	215	354.12	12888	76	5
Loyal Customer	212	2	1	2	177	1169.94	18168	594	131
Newest Customer	142	2	4	1	41	920.1	17018	176	16
Normal	243	3	4	2	107	628.38	14687	470	15
Normal	122	2	2	1	3	1286.7	15136	776	68
Normal	122	2	2	1	38	1454.58	13477	1021	79
Loyal Customer	112	2	1	1	41	1111.79	16049	793	312
Highest Paying Customer	131	1	3	1	54	1647.26	13750	516	24
Normal	122	2	2	1	24	1073.3	13131	447	44
Loyal Customer	112	2	1	1	13	732.16	17812	350	141
Normal	122	2	2	1	43	770.03	14412	786	43
Normal	134	4	3	1	41	149.31	15748	51	21
Best Customer	111	1	1	1	5	2157.4	16379	1410	108
Highest Paying Customer	221	1	2	2	145	1749.02	13564	661	83
Normal	233	3	3	2	155	322.96	13955	154	33
Normal	134	4	3	1	51	157.05	14585	91	29
Normal	133	3	3	1	66	332.3	16803	245	24
Normal	124	4	2	1	3	161.03	14204	82	44
Best Customer	111	1	1	1	13	2092.32	13571	1759	341
Normal	333	3	3	3	237	338.95	17697	93	19
Normal	224	4	2	2	162	233.81	15483	295	88
Loyal Customer	112	2	1	1	41	1342.68	17372	749	253
Newest Customer	144	4	4	1	39	283.15	18270	101	11
Normal	122	2	2	1	29	1132.03	13310	587	72
Normal	244	4	4	2	113	139.26	14772	82	9
Newest Customer	143	3	4	1	75	544.08	13390	224	13
Normal	233	3	3	2	120	389.6	13873	140	23
Loyal Customer	112	2	1	1	16	768.08	17516	416	137
Best Customer	111	1	1	1	4	1863.47	16201	1286	111
Normal	344	4	4	3	297	173.05	15670	91	12
Normal	122	2	2	1	27	1081.57	17041	951	70
Newest Customer	144	4	4	1	96	205.3	15307	37	12
Normal	244	4	4	2	160	99.14	17939	40	12
Normal	244	4	4	2	144	90	14117	72	3
Loyal Customer	112	2	1	1	18	845.64	15965	453	122
Best Customer	111	1	1	1	10	2639.17	13658	1019	108
Normal	333	3	3	3	228	632.07	18183	371	37
Normal	132	2	3	1	94	982.07	15071	269	26
Highest Paying Customer	121	1	2	1	10	2183.54	15394	910	85
Normal	344	4	4	3	201	163.2	13223	88	5
Normal	333	3	3	3	312	538.81	14496	159	19
Normal	242	2	4	2	108	763.64	17268	844	6
Newest Customer	144	4	4	1	19	216.9	13739	54	3
Best Customer	111	1	1	1	8	4871.93	14292	1663	100
Normal	123	3	2	1	12	650.43	15571	264	57
Normal	132	2	3	1	86	655.75	14894	265	23
Normal	133	3	3	1	20	307.09	13142	258	23
Normal	123	3	2	1	25	380.47	12890	259	82
Best Customer	111	1	1	1	41	3614.92	14040	1554	235
Normal	132	2	3	1	34	980.31	18170	409	38
Normal	343	3	4	3	201	300.95	13479	134	15
Normal	122	2	2	1	34	1048.49	15839	675	62
Best Customer	111	1	1	1	11	4652.82	14390	2136	286
Normal	244	4	4	2	142	120	14259	68	5
Newest Customer	144	4	4	1	12	213.3	15540	200	15
Normal	122	2	2	1	18	1515.9	16748	880	69
Normal	344	4	4	3	290	224.91	17171	185	16
Loyal Customer	112	2	1	1	34	1132.13	13772	546	177
Normal	122	2	2	1	31	1316.07	14921	953	78
Highest Paying Customer	121	1	2	1	5	2483.63	12913	1419	50
Loyal Customer	113	3	1	1	15	606.13	14710	378	139
Highest Paying Customer	121	1	2	1	4	1852	16979	865	89
Best Customer	111	1	1	1	10	3609.33	15113	2386	100
Loyal Customer	112	2	1	1	41	977.21	15860	440	142
Normal	334	4	3	3	237	175.27	17582	123	29
Normal	344	4	4	3	244	112.55	18129	48	14
Normal	123	3	2	1	64	374.7	14067	361	52
Normal	343	3	4	3	260	590	13452	2	2
Normal	133	3	3	1	39	325.91	16830	264	23
Normal	132	2	3	1	72	1033	17724	300	40
Normal	334	4	3	3	195	222.05	15897	261	24
Newest Customer	144	4	4	1	60	93.66	13283	90	7
Normal	123	3	2	1	87	559.41	14177	205	42
Normal	134	4	3	1	48	180.17	13598	58	40
Newest Customer	144	4	4	1	95	234.6	15462	172	11
Normal	123	3	2	1	16	537.74	17345	346	87
Normal	133	3	3	1	58	337.34	13930	274	17
Normal	232	2	3	2	158	734.13	16146	427	29
Normal	344	4	4	3	365	173.7	16565	46	3
Normal	133	3	3	1	16	415.25	15725	221	32
Normal	122	2	2	1	53	1010.18	13032	375	71
Best Customer	111	1	1	1	17	1896.41	17463	1095	215
Normal	244	4	4	2	107	156.51	15263	89	12
Normal	133	3	3	1	12	330.88	15714	187	35
Normal	122	2	2	1	93	678.25	13925	331	41
Best Customer	111	1	1	1	16	3738.4	16570	2112	126
Normal	244	4	4	2	159	289.96	17464	220	9
Normal	344	4	4	3	226	93.35	17991	25	5
Normal	344	4	4	3	198	271.85	14816	5	4
Normal	233	3	3	2	158	487.02	13338	256	19
Normal	132	2	3	1	16	656.69	16157	347	18
Normal	334	4	3	3	188	267.08	17708	91	35
Highest Paying Customer	121	1	2	1	25	2338.6	18259	714	42
Normal	333	3	3	3	313	501.39	15881	260	29
Normal	122	2	2	1	68	853.39	14193	445	42
Normal	133	3	3	1	50	488.2	17361	157	29
Best Customer	111	1	1	1	15	6509.1	16814	2769	324
Newest Customer	143	3	4	1	16	326.4	14987	128	4
Normal	344	4	4	3	269	142.5	13299	30	5
Normal	122	2	2	1	41	1441.42	15478	585	46
Best Customer	111	1	1	1	8	4331.48	17567	2632	165
Highest Paying Customer	121	1	2	1	8	2888.75	18144	1343	43
Normal	344	4	4	3	358	158.16	15160	84	4
Normal	244	4	4	2	139	147.12	12864	216	3
Normal	134	4	3	1	57	262.2	16413	148	31
Normal	332	2	3	3	208	1303.91	15813	603	40
Best Customer	111	1	1	1	9	2588.77	14243	1221	141
Best Customer	111	1	1	1	3	58825.83	13089	31070	1818
Newest Customer	143	3	4	1	25	440	15524	4	1
Best Customer	111	1	1	1	4	2799.25	16764	1259	706
Normal	134	4	3	1	18	251.7	17155	242	20
Normal	233	3	3	2	155	315.06	16091	154	18
Normal	334	4	3	3	289	127.86	15543	86	28
Normal	244	4	4	2	134	76.5	13106	18	1
Highest Paying Customer	131	1	3	1	31	1764.72	16751	1031	25
Normal	122	2	2	1	66	1043.46	14389	729	45
Normal	333	3	3	3	289	584.32	16072	140	23
Normal	134	4	3	1	30	110.38	17901	24	19
Normal	322	2	2	3	261	969.06	14256	414	53
Normal	122	2	2	1	5	1535.53	15392	1277	84
Best Customer	111	1	1	1	43	1957.32	14498	1098	193
Normal	222	2	2	2	180	1109.53	15069	520	70
Loyal Customer	112	2	1	1	27	1064.11	17287	559	124
Normal	123	3	2	1	24	418.83	15967	211	84
Normal	223	3	2	2	165	379.65	13656	490	49
Normal	124	4	2	1	86	278.74	17786	200	72
Normal	123	3	2	1	25	382.8	18181	146	44
Normal	322	2	2	3	241	847.41	13221	244	66
Normal	334	4	3	3	285	109.95	16339	23	20
Normal	334	4	3	3	278	117.55	17654	41	22
Best Customer	111	1	1	1	5	4022.35	12841	2757	420
Newest Customer	143	3	4	1	5	400.86	16500	123	11
Normal	133	3	3	1	71	310.62	15185	666	21
Normal	122	2	2	1	16	1393.69	13995	879	86
Newest Customer	143	3	4	1	51	443.6	14638	166	16
Loyal Customer	112	2	1	1	30	981.65	16907	298	151
Normal	132	2	3	1	41	680.18	13524	324	27
Loyal Customer	112	2	1	1	27	815.32	14499	501	194
Normal	124	4	2	1	22	153.92	17286	118	45
Highest Paying Customer	311	1	1	3	195	1578.67	16889	925	135
Normal	132	2	3	1	79	819.29	13220	196	21
Newest Customer	143	3	4	1	11	382.14	13657	209	16
Highest Paying Customer	211	1	1	2	153	1865.19	17787	910	134
Newest Customer	144	4	4	1	17	231.86	15393	150	12
Best Customer	111	1	1	1	5	1843.75	18180	1721	119
Loyal Customer	113	3	1	1	47	553.36	15068	364	104
Normal	222	2	2	2	146	783.9	16054	380	70
Best Customer	111	1	1	1	24	4628.75	14286	4338	280
Normal	132	2	3	1	12	800.59	15561	267	27
Normal	344	4	4	3	262	77.3	13132	20	3
Newest Customer	142	2	4	1	53	1253.36	17262	367	12
Loyal Customer	112	2	1	1	10	933.62	16657	1229	208
Normal	233	3	3	2	163	300.04	13745	496	25
Normal	342	2	4	3	311	1063	14411	196	14
Best Customer	111	1	1	1	5	7837.73	17811	4177	851
Normal	344	4	4	3	188	59.5	13682	10	3
Best Customer	111	1	1	1	4	2322.4	17744	3412	136
Highest Paying Customer	211	1	1	2	104	1936.84	14472	1160	281
Normal	222	2	2	2	104	1370.6	15095	1079	47
Best Customer	111	1	1	1	5	6484.54	18223	2948	272
Normal	344	4	4	3	281	96.8	17325	60	6
Loyal Customer	113	3	1	1	13	442.85	14093	406	105
Best Customer	111	1	1	1	4	9817.12	13199	6176	119
Highest Paying Customer	121	1	2	1	41	2386.05	15370	830	94
Normal	333	3	3	3	334	332.41	16850	249	19
Normal	333	3	3	3	250	328.2	14747	84	18
Normal	334	4	3	3	307	108.07	12956	34	19
Normal	232	2	3	2	166	811.45	17980	682	30
Highest Paying Customer	211	1	1	2	106	1887.2	15641	1562	119
Normal	333	3	3	3	190	542.03	16230	365	35
Newest Customer	144	4	4	1	80	194.37	17475	178	14
Highest Paying Customer	121	1	2	1	8	2050.08	17086	1859	96
Best Customer	111	1	1	1	9	8109.52	13854	2296	110
Normal	133	3	3	1	55	642.77	13034	369	37
Normal	122	2	2	1	16	1022.13	17096	339	48
Normal	332	2	3	3	195	865.6	16567	996	35
Normal	344	4	4	3	247	175.2	16144	16	1
Loyal Customer	112	2	1	1	23	757.46	17461	799	111
Normal	122	2	2	1	30	697.55	14829	452	42
Normal	222	2	2	2	122	678.49	17994	497	81
Best Customer	111	1	1	1	17	5178.96	15727	3065	302
Normal	133	3	3	1	11	464.57	13928	129	27
Newest Customer	142	2	4	1	51	913.68	15587	312	9
Normal	333	3	3	3	219	605.8	17849	114	26
Loyal Customer	112	2	1	1	13	1485.54	14878	802	124
Normal	122	2	2	1	95	1201.06	13158	784	79
Best Customer	111	1	1	1	25	3198.25	17220	1905	472
Normal	344	4	4	3	218	199.85	13723	43	6
Normal	344	4	4	3	275	223.95	16471	141	13
Normal	132	2	3	1	22	1379.9	17621	514	26
Normal	123	3	2	1	3	497.43	16368	260	76
Normal	124	4	2	1	26	262.68	16936	173	57
Newest Customer	144	4	4	1	22	230.22	13960	142	12
Best Customer	111	1	1	1	11	5756.89	15218	3329	166
Normal	344	4	4	3	219	253.04	15759	60	7
Normal	344	4	4	3	298	3.75	16738	3	1
Normal	122	2	2	1	22	726.05	17888	980	67
Normal	343	3	4	3	219	306.72	13762	272	7
Normal	134	4	3	1	58	239.92	17181	241	23
Best Customer	111	1	1	1	40	2741.17	14808	2147	235
Normal	134	4	3	1	50	272.04	13917	228	18
Normal	122	2	2	1	64	1060.56	15706	321	55
Normal	244	4	4	2	164	32.65	17408	3	2
Normal	132	2	3	1	65	689.9	13023	286	40
Best Customer	111	1	1	1	8	2507.07	15271	1262	274
Best Customer	111	1	1	1	25	1610.46	13614	570	201
Best Customer	111	1	1	1	11	2279.9	16782	712	190
Normal	242	2	4	2	151	652.8	14548	256	4
Loyal Customer	312	2	1	3	216	1110.52	14161	455	108
Best Customer	111	1	1	1	3	4521.49	13267	1969	211
Normal	122	2	2	1	5	1387.68	17676	932	78
Normal	324	4	2	3	267	266	15019	159	70
Newest Customer	144	4	4	1	19	97.5	12984	26	4
Normal	133	3	3	1	71	618.59	16613	293	30
Best Customer	111	1	1	1	51	3672.86	15296	1766	194
Best Customer	111	1	1	1	97	3228.84	17050	1614	316
Normal	132	2	3	1	50	657.23	15677	319	33
Best Customer	111	1	1	1	32	3639.31	13381	2029	172
Best Customer	111	1	1	1	3	91062.38	17511	64549	963
Normal	122	2	2	1	3	1191.13	13882	953	65
Normal	233	3	3	2	107	534.85	13000	379	31
Newest Customer	144	4	4	1	52	157.7	14799	146	13
Best Customer	111	1	1	1	34	2225.37	13365	1247	128
Loyal Customer	112	2	1	1	20	1095.56	16533	612	177
Normal	233	3	3	2	153	389.78	18024	184	21
Normal	344	4	4	3	326	155.93	13898	133	12
Normal	323	3	2	3	314	403.3	17431	292	43
Normal	244	4	4	2	139	197.9	16178	94	8
Normal	244	4	4	2	173	113.12	15280	154	16
Best Customer	111	1	1	1	3	3109.99	16678	2397	163
Best Customer	111	1	1	1	18	5014.84	14329	3095	259
Normal	243	3	4	2	111	434.34	14460	881	16
Normal	133	3	3	1	24	511.35	14851	325	28
Normal	123	3	2	1	20	348.73	18127	188	47
Newest Customer	143	3	4	1	66	406.53	15127	251	16
Normal	132	2	3	1	8	1242.3	17584	458	35
Best Customer	111	1	1	1	8	9646.57	13458	5508	382
Loyal Customer	112	2	1	1	30	1522.25	16434	767	109
Best Customer	111	1	1	1	5	2078.95	14696	1630	130
Normal	124	4	2	1	20	238.85	15850	302	97
Best Customer	111	1	1	1	2	40991.57	17841	23071	7847
Highest Paying Customer	121	1	2	1	1	1712.89	14441	446	51
Normal	343	3	4	3	262	327.25	14870	119	13
Loyal Customer	312	2	1	3	282	1079.34	13715	563	105
Best Customer	111	1	1	1	16	1906.09	17228	1532	208
Normal	323	3	2	3	284	417.2	13166	216	41
Normal	122	2	2	1	17	851.01	16020	487	46
Normal	122	2	2	1	24	1129.14	13447	584	59
Normal	133	3	3	1	25	346.12	16423	230	18
Normal	133	3	3	1	30	380.6	17573	308	25
Normal	342	2	4	3	267	752.43	16256	581	13
Best Customer	111	1	1	1	89	4481.35	16984	2423	407
Normal	233	3	3	2	162	405.38	12922	370	28
Normal	344	4	4	3	296	152.65	18138	38	8
Loyal Customer	112	2	1	1	18	1422.52	15106	1181	100
Normal	344	4	4	3	186	103.25	14542	19	5
Normal	123	3	2	1	34	377.01	15025	189	72
Loyal Customer	213	3	1	2	124	597.48	16788	311	155
Best Customer	111	1	1	1	8	5739.46	17686	2478	286
Normal	344	4	4	3	267	118.75	14155	25	6
Normal	434	4	3	4	373	127.08	15923	122	21
Loyal Customer	112	2	1	1	13	1122.53	15436	613	329
Normal	344	4	4	3	181	80.82	18281	54	7
Normal	122	2	2	1	20	784.11	17387	542	78
Normal	224	4	2	2	171	180.35	15041	104	67
Highest Paying Customer	121	1	2	1	90	6115.01	15939	4728	76
Normal	133	3	3	1	47	415.82	14139	510	26
Normal	122	2	2	1	37	949.12	13636	592	63
Loyal Customer	113	3	1	1	22	422.88	18034	561	112
Normal	133	3	3	1	64	439.56	13359	161	23
Newest Customer	144	4	4	1	82	228.06	16527	106	14
Normal	123	3	2	1	16	554.65	14805	115	47
Highest Paying Customer	121	1	2	1	11	3787.6	16168	1892	98
Normal	122	2	2	1	5	716.57	15274	619	47
Normal	344	4	4	3	265	211.5	15703	66	5
Normal	133	3	3	1	38	332.64	13904	332	26
Normal	123	3	2	1	41	542.73	13278	537	46
Normal	134	4	3	1	27	164.34	13603	164	27
Loyal Customer	112	2	1	1	20	859.27	14553	493	113
Normal	134	4	3	1	44	260.17	15014	151	35
Best Customer	111	1	1	1	34	2246.81	16771	1489	255
Loyal Customer	112	2	1	1	5	1417.29	14649	1018	199
Newest Customer	143	3	4	1	52	415.82	15803	290	8
Normal	122	2	2	1	22	846.75	16924	493	83
Normal	122	2	2	1	32	1324.84	17633	644	70
Normal	343	3	4	3	278	328.8	14012	160	11
Normal	334	4	3	3	193	139.35	16483	44	19
Normal	344	4	4	3	323	135.75	15174	145	11
Normal	333	3	3	3	218	336.13	18078	145	29
Best Customer	111	1	1	1	4	2479.16	13507	1597	162
Loyal Customer	213	3	1	2	129	428.68	16324	282	118
Loyal Customer	112	2	1	1	10	1487.8	14963	1176	198
Best Customer	111	1	1	1	16	10384.93	15502	4236	213
Normal	333	3	3	3	261	409.57	14348	183	18
Loyal Customer	112	2	1	1	27	1382.02	16726	977	185
Best Customer	111	1	1	1	2	2004.98	14217	689	100
Newest Customer	144	4	4	1	83	115.46	13067	32	15
Highest Paying Customer	131	1	3	1	36	1699.3	17193	1254	32
Normal	334	4	3	3	184	161.38	16113	176	30
Normal	244	4	4	2	166	163.3	17110	50	12
Highest Paying Customer	221	1	2	2	164	5719.82	16553	4600	84
Normal	344	4	4	3	213	85	15729	28	5
Normal	133	3	3	1	66	631.57	15244	405	34
Newest Customer	143	3	4	1	73	567.36	13321	372	11
Best Customer	111	1	1	1	2	1721.4	17451	1203	100
Normal	333	3	3	3	292	560.47	13044	429	33
Normal	334	4	3	3	363	169.47	18004	78	40
Normal	333	3	3	3	250	535.34	16142	422	37
Best Customer	111	1	1	1	9	2633.01	18077	1878	227
Best Customer	111	1	1	1	15	3844.22	16327	2571	319
Normal	132	2	3	1	53	917.34	14015	378	20
Normal	134	4	3	1	65	295.93	13504	178	22
Best Customer	111	1	1	1	37	2361.97	17634	840	297
Loyal Customer	212	2	1	2	108	699.08	15800	335	119
Normal	122	2	2	1	76	769.29	16480	455	53
Normal	243	3	4	2	116	543.05	16927	993	6
Best Customer	111	1	1	1	11	2740.43	14125	1640	167
Loyal Customer	112	2	1	1	48	673.26	14504	308	107
Normal	344	4	4	3	262	207.8	18191	140	7
Best Customer	111	1	1	1	9	1875.11	17293	1140	135
Normal	123	3	2	1	32	428.89	15957	211	42
Normal	223	3	2	2	149	626.77	15402	694	42
Normal	132	2	3	1	67	705.12	16882	424	39
Highest Paying Customer	121	1	2	1	17	1836.34	13650	922	96
